seq_lab	seq_run	sample_id	biosample_id	t_fctr	pcr_16S_plate	pos
jhu	1	jhu_run1_1-A1	E01JH0004	20	1	A1
jhu	1	jhu_run1_1-A10	E01JH0017	20	1	A10
jhu	1	jhu_run1_1-A11	E01JH0038	20	1	A11
jhu	1	jhu_run1_1-A12	NTC	NA	1	A12
jhu	1	jhu_run1_1-A2	E01JH0011	20	1	A2
jhu	1	jhu_run1_1-A3	E01JH0016	20	1	A3
jhu	1	jhu_run1_1-A4	E01JH0017	20	1	A4
jhu	1	jhu_run1_1-A5	E01JH0038	20	1	A5
jhu	1	jhu_run1_1-A6	NTC	NA	1	A6
jhu	1	jhu_run1_1-A7	E01JH0004	20	1	A7
jhu	1	jhu_run1_1-A8	E01JH0011	20	1	A8
jhu	1	jhu_run1_1-A9	E01JH0016	20	1	A9
jhu	1	jhu_run1_1-B1	E01JH0004	1	1	B1
jhu	1	jhu_run1_1-B10	E01JH0017	1	1	B10
jhu	1	jhu_run1_1-B11	E01JH0038	1	1	B11
jhu	1	jhu_run1_1-B12	E01JH0011	0	1	B12
jhu	1	jhu_run1_1-B2	E01JH0011	1	1	B2
jhu	1	jhu_run1_1-B3	E01JH0016	1	1	B3
jhu	1	jhu_run1_1-B4	E01JH0017	1	1	B4
jhu	1	jhu_run1_1-B5	E01JH0038	1	1	B5
jhu	1	jhu_run1_1-B6	E01JH0011	0	1	B6
jhu	1	jhu_run1_1-B7	E01JH0004	1	1	B7
jhu	1	jhu_run1_1-B8	E01JH0011	1	1	B8
jhu	1	jhu_run1_1-B9	E01JH0016	1	1	B9
jhu	1	jhu_run1_1-C1	E01JH0004	2	1	C1
jhu	1	jhu_run1_1-C10	E01JH0017	2	1	C10
jhu	1	jhu_run1_1-C11	E01JH0038	2	1	C11
jhu	1	jhu_run1_1-C12	E01JH0016	0	1	C12
jhu	1	jhu_run1_1-C2	E01JH0011	2	1	C2
jhu	1	jhu_run1_1-C3	E01JH0016	2	1	C3
jhu	1	jhu_run1_1-C4	E01JH0017	2	1	C4
jhu	1	jhu_run1_1-C5	E01JH0038	2	1	C5
jhu	1	jhu_run1_1-C6	E01JH0016	0	1	C6
jhu	1	jhu_run1_1-C7	E01JH0004	2	1	C7
jhu	1	jhu_run1_1-C8	E01JH0011	2	1	C8
jhu	1	jhu_run1_1-C9	E01JH0016	2	1	C9
jhu	1	jhu_run1_1-D1	E01JH0004	3	1	D1
jhu	1	jhu_run1_1-D10	E01JH0017	3	1	D10
jhu	1	jhu_run1_1-D11	E01JH0038	3	1	D11
jhu	1	jhu_run1_1-D12	NTC	NA	1	D12
jhu	1	jhu_run1_1-D2	E01JH0011	3	1	D2
jhu	1	jhu_run1_1-D3	E01JH0016	3	1	D3
jhu	1	jhu_run1_1-D4	E01JH0017	3	1	D4
jhu	1	jhu_run1_1-D5	E01JH0038	3	1	D5
jhu	1	jhu_run1_1-D6	NTC	NA	1	D6
jhu	1	jhu_run1_1-D7	E01JH0004	3	1	D7
jhu	1	jhu_run1_1-D8	E01JH0011	3	1	D8
jhu	1	jhu_run1_1-D9	E01JH0016	3	1	D9
jhu	1	jhu_run1_1-E1	E01JH0004	4	1	E1
jhu	1	jhu_run1_1-E10	E01JH0017	4	1	E10
jhu	1	jhu_run1_1-E11	E01JH0038	4	1	E11
jhu	1	jhu_run1_1-E12	E01JH0017	0	1	E12
jhu	1	jhu_run1_1-E2	E01JH0011	4	1	E2
jhu	1	jhu_run1_1-E3	E01JH0016	4	1	E3
jhu	1	jhu_run1_1-E4	E01JH0017	4	1	E4
jhu	1	jhu_run1_1-E5	E01JH0038	4	1	E5
jhu	1	jhu_run1_1-E6	E01JH0017	0	1	E6
jhu	1	jhu_run1_1-E7	E01JH0004	4	1	E7
jhu	1	jhu_run1_1-E8	E01JH0011	4	1	E8
jhu	1	jhu_run1_1-E9	E01JH0016	4	1	E9
jhu	1	jhu_run1_1-F1	E01JH0004	5	1	F1
jhu	1	jhu_run1_1-F10	E01JH0017	5	1	F10
jhu	1	jhu_run1_1-F11	E01JH0038	5	1	F11
jhu	1	jhu_run1_1-F12	E01JH0004	0	1	F12
jhu	1	jhu_run1_1-F2	E01JH0011	5	1	F2
jhu	1	jhu_run1_1-F3	E01JH0016	5	1	F3
jhu	1	jhu_run1_1-F4	E01JH0017	5	1	F4
jhu	1	jhu_run1_1-F5	E01JH0038	5	1	F5
jhu	1	jhu_run1_1-F6	E01JH0004	0	1	F6
jhu	1	jhu_run1_1-F7	E01JH0004	5	1	F7
jhu	1	jhu_run1_1-F8	E01JH0011	5	1	F8
jhu	1	jhu_run1_1-F9	E01JH0016	5	1	F9
jhu	1	jhu_run1_1-G1	E01JH0004	10	1	G1
jhu	1	jhu_run1_1-G10	E01JH0017	10	1	G10
jhu	1	jhu_run1_1-G11	E01JH0038	10	1	G11
jhu	1	jhu_run1_1-G12	E01JH0038	0	1	G12
jhu	1	jhu_run1_1-G2	E01JH0011	10	1	G2
jhu	1	jhu_run1_1-G3	E01JH0016	10	1	G3
jhu	1	jhu_run1_1-G4	E01JH0017	10	1	G4
jhu	1	jhu_run1_1-G5	E01JH0038	10	1	G5
jhu	1	jhu_run1_1-G6	E01JH0038	0	1	G6
jhu	1	jhu_run1_1-G7	E01JH0004	10	1	G7
jhu	1	jhu_run1_1-G8	E01JH0011	10	1	G8
jhu	1	jhu_run1_1-G9	E01JH0016	10	1	G9
jhu	1	jhu_run1_1-H1	E01JH0004	15	1	H1
jhu	1	jhu_run1_1-H10	E01JH0017	15	1	H10
jhu	1	jhu_run1_1-H11	E01JH0038	15	1	H11
jhu	1	jhu_run1_1-H12	NTC	NA	1	H12
jhu	1	jhu_run1_1-H2	E01JH0011	15	1	H2
jhu	1	jhu_run1_1-H3	E01JH0016	15	1	H3
jhu	1	jhu_run1_1-H4	E01JH0017	15	1	H4
jhu	1	jhu_run1_1-H5	E01JH0038	15	1	H5
jhu	1	jhu_run1_1-H6	NTC	NA	1	H6
jhu	1	jhu_run1_1-H7	E01JH0004	15	1	H7
jhu	1	jhu_run1_1-H8	E01JH0011	15	1	H8
jhu	1	jhu_run1_1-H9	E01JH0016	15	1	H9
jhu	1	jhu_run1_2-A1	E01JH0004	20	2	A1
jhu	1	jhu_run1_2-A10	E01JH0017	20	2	A10
jhu	1	jhu_run1_2-A11	E01JH0038	20	2	A11
jhu	1	jhu_run1_2-A12	NTC	NA	2	A12
jhu	1	jhu_run1_2-A2	E01JH0011	20	2	A2
jhu	1	jhu_run1_2-A3	E01JH0016	20	2	A3
jhu	1	jhu_run1_2-A4	E01JH0017	20	2	A4
jhu	1	jhu_run1_2-A5	E01JH0038	20	2	A5
jhu	1	jhu_run1_2-A6	NTC	NA	2	A6
jhu	1	jhu_run1_2-A7	E01JH0004	20	2	A7
jhu	1	jhu_run1_2-A8	E01JH0011	20	2	A8
jhu	1	jhu_run1_2-A9	E01JH0016	20	2	A9
jhu	1	jhu_run1_2-B1	E01JH0004	1	2	B1
jhu	1	jhu_run1_2-B10	E01JH0017	1	2	B10
jhu	1	jhu_run1_2-B11	E01JH0038	1	2	B11
jhu	1	jhu_run1_2-B12	E01JH0011	0	2	B12
jhu	1	jhu_run1_2-B2	E01JH0011	1	2	B2
jhu	1	jhu_run1_2-B3	E01JH0016	1	2	B3
jhu	1	jhu_run1_2-B4	E01JH0017	1	2	B4
jhu	1	jhu_run1_2-B5	E01JH0038	1	2	B5
jhu	1	jhu_run1_2-B6	E01JH0011	0	2	B6
jhu	1	jhu_run1_2-B7	E01JH0004	1	2	B7
jhu	1	jhu_run1_2-B8	E01JH0011	1	2	B8
jhu	1	jhu_run1_2-B9	E01JH0016	1	2	B9
jhu	1	jhu_run1_2-C1	E01JH0004	2	2	C1
jhu	1	jhu_run1_2-C10	E01JH0017	2	2	C10
jhu	1	jhu_run1_2-C11	E01JH0038	2	2	C11
jhu	1	jhu_run1_2-C12	E01JH0016	0	2	C12
jhu	1	jhu_run1_2-C2	E01JH0011	2	2	C2
jhu	1	jhu_run1_2-C3	E01JH0016	2	2	C3
jhu	1	jhu_run1_2-C4	E01JH0017	2	2	C4
jhu	1	jhu_run1_2-C5	E01JH0038	2	2	C5
jhu	1	jhu_run1_2-C6	E01JH0016	0	2	C6
jhu	1	jhu_run1_2-C7	E01JH0004	2	2	C7
jhu	1	jhu_run1_2-C8	E01JH0011	2	2	C8
jhu	1	jhu_run1_2-C9	E01JH0016	2	2	C9
jhu	1	jhu_run1_2-D1	E01JH0004	3	2	D1
jhu	1	jhu_run1_2-D10	E01JH0017	3	2	D10
jhu	1	jhu_run1_2-D11	E01JH0038	3	2	D11
jhu	1	jhu_run1_2-D12	NTC	NA	2	D12
jhu	1	jhu_run1_2-D2	E01JH0011	3	2	D2
jhu	1	jhu_run1_2-D3	E01JH0016	3	2	D3
jhu	1	jhu_run1_2-D4	E01JH0017	3	2	D4
jhu	1	jhu_run1_2-D5	E01JH0038	3	2	D5
jhu	1	jhu_run1_2-D6	NTC	NA	2	D6
jhu	1	jhu_run1_2-D7	E01JH0004	3	2	D7
jhu	1	jhu_run1_2-D8	E01JH0011	3	2	D8
jhu	1	jhu_run1_2-D9	E01JH0016	3	2	D9
jhu	1	jhu_run1_2-E1	E01JH0004	4	2	E1
jhu	1	jhu_run1_2-E10	E01JH0017	4	2	E10
jhu	1	jhu_run1_2-E11	E01JH0038	4	2	E11
jhu	1	jhu_run1_2-E12	E01JH0017	0	2	E12
jhu	1	jhu_run1_2-E2	E01JH0011	4	2	E2
jhu	1	jhu_run1_2-E3	E01JH0016	4	2	E3
jhu	1	jhu_run1_2-E4	E01JH0017	4	2	E4
jhu	1	jhu_run1_2-E5	E01JH0038	4	2	E5
jhu	1	jhu_run1_2-E6	E01JH0017	0	2	E6
jhu	1	jhu_run1_2-E7	E01JH0004	4	2	E7
jhu	1	jhu_run1_2-E8	E01JH0011	4	2	E8
jhu	1	jhu_run1_2-E9	E01JH0016	4	2	E9
jhu	1	jhu_run1_2-F1	E01JH0004	5	2	F1
jhu	1	jhu_run1_2-F10	E01JH0017	5	2	F10
jhu	1	jhu_run1_2-F11	E01JH0038	5	2	F11
jhu	1	jhu_run1_2-F12	E01JH0004	0	2	F12
jhu	1	jhu_run1_2-F2	E01JH0011	5	2	F2
jhu	1	jhu_run1_2-F3	E01JH0016	5	2	F3
jhu	1	jhu_run1_2-F4	E01JH0017	5	2	F4
jhu	1	jhu_run1_2-F5	E01JH0038	5	2	F5
jhu	1	jhu_run1_2-F6	E01JH0004	0	2	F6
jhu	1	jhu_run1_2-F7	E01JH0004	5	2	F7
jhu	1	jhu_run1_2-F8	E01JH0011	5	2	F8
jhu	1	jhu_run1_2-F9	E01JH0016	5	2	F9
jhu	1	jhu_run1_2-G1	E01JH0004	10	2	G1
jhu	1	jhu_run1_2-G10	E01JH0017	10	2	G10
jhu	1	jhu_run1_2-G11	E01JH0038	10	2	G11
jhu	1	jhu_run1_2-G12	E01JH0038	0	2	G12
jhu	1	jhu_run1_2-G2	E01JH0011	10	2	G2
jhu	1	jhu_run1_2-G3	E01JH0016	10	2	G3
jhu	1	jhu_run1_2-G4	E01JH0017	10	2	G4
jhu	1	jhu_run1_2-G5	E01JH0038	10	2	G5
jhu	1	jhu_run1_2-G6	E01JH0038	0	2	G6
jhu	1	jhu_run1_2-G7	E01JH0004	10	2	G7
jhu	1	jhu_run1_2-G8	E01JH0011	10	2	G8
jhu	1	jhu_run1_2-G9	E01JH0016	10	2	G9
jhu	1	jhu_run1_2-H1	E01JH0004	15	2	H1
jhu	1	jhu_run1_2-H10	E01JH0017	15	2	H10
jhu	1	jhu_run1_2-H11	E01JH0038	15	2	H11
jhu	1	jhu_run1_2-H12	NTC	NA	2	H12
jhu	1	jhu_run1_2-H2	E01JH0011	15	2	H2
jhu	1	jhu_run1_2-H3	E01JH0016	15	2	H3
jhu	1	jhu_run1_2-H4	E01JH0017	15	2	H4
jhu	1	jhu_run1_2-H5	E01JH0038	15	2	H5
jhu	1	jhu_run1_2-H6	NTC	NA	2	H6
jhu	1	jhu_run1_2-H7	E01JH0004	15	2	H7
jhu	1	jhu_run1_2-H8	E01JH0011	15	2	H8
jhu	1	jhu_run1_2-H9	E01JH0016	15	2	H9
jhu	2	jhu_run2_1-A1	E01JH0004	20	1	A1
jhu	2	jhu_run2_1-A10	E01JH0017	20	1	A10
jhu	2	jhu_run2_1-A11	E01JH0038	20	1	A11
jhu	2	jhu_run2_1-A12	NTC	NA	1	A12
jhu	2	jhu_run2_1-A2	E01JH0011	20	1	A2
jhu	2	jhu_run2_1-A3	E01JH0016	20	1	A3
jhu	2	jhu_run2_1-A4	E01JH0017	20	1	A4
jhu	2	jhu_run2_1-A5	E01JH0038	20	1	A5
jhu	2	jhu_run2_1-A6	NTC	NA	1	A6
jhu	2	jhu_run2_1-A7	E01JH0004	20	1	A7
jhu	2	jhu_run2_1-A8	E01JH0011	20	1	A8
jhu	2	jhu_run2_1-A9	E01JH0016	20	1	A9
jhu	2	jhu_run2_1-B1	E01JH0004	1	1	B1
jhu	2	jhu_run2_1-B10	E01JH0017	1	1	B10
jhu	2	jhu_run2_1-B11	E01JH0038	1	1	B11
jhu	2	jhu_run2_1-B12	E01JH0011	0	1	B12
jhu	2	jhu_run2_1-B2	E01JH0011	1	1	B2
jhu	2	jhu_run2_1-B3	E01JH0016	1	1	B3
jhu	2	jhu_run2_1-B4	E01JH0017	1	1	B4
jhu	2	jhu_run2_1-B5	E01JH0038	1	1	B5
jhu	2	jhu_run2_1-B6	E01JH0011	0	1	B6
jhu	2	jhu_run2_1-B7	E01JH0004	1	1	B7
jhu	2	jhu_run2_1-B8	E01JH0011	1	1	B8
jhu	2	jhu_run2_1-B9	E01JH0016	1	1	B9
jhu	2	jhu_run2_1-C1	E01JH0004	2	1	C1
jhu	2	jhu_run2_1-C10	E01JH0017	2	1	C10
jhu	2	jhu_run2_1-C11	E01JH0038	2	1	C11
jhu	2	jhu_run2_1-C12	E01JH0016	0	1	C12
jhu	2	jhu_run2_1-C2	E01JH0011	2	1	C2
jhu	2	jhu_run2_1-C3	E01JH0016	2	1	C3
jhu	2	jhu_run2_1-C4	E01JH0017	2	1	C4
jhu	2	jhu_run2_1-C5	E01JH0038	2	1	C5
jhu	2	jhu_run2_1-C6	E01JH0016	0	1	C6
jhu	2	jhu_run2_1-C7	E01JH0004	2	1	C7
jhu	2	jhu_run2_1-C8	E01JH0011	2	1	C8
jhu	2	jhu_run2_1-C9	E01JH0016	2	1	C9
jhu	2	jhu_run2_1-D1	E01JH0004	3	1	D1
jhu	2	jhu_run2_1-D10	E01JH0017	3	1	D10
jhu	2	jhu_run2_1-D11	E01JH0038	3	1	D11
jhu	2	jhu_run2_1-D12	NTC	NA	1	D12
jhu	2	jhu_run2_1-D2	E01JH0011	3	1	D2
jhu	2	jhu_run2_1-D3	E01JH0016	3	1	D3
jhu	2	jhu_run2_1-D4	E01JH0017	3	1	D4
jhu	2	jhu_run2_1-D5	E01JH0038	3	1	D5
jhu	2	jhu_run2_1-D6	NTC	NA	1	D6
jhu	2	jhu_run2_1-D7	E01JH0004	3	1	D7
jhu	2	jhu_run2_1-D8	E01JH0011	3	1	D8
jhu	2	jhu_run2_1-D9	E01JH0016	3	1	D9
jhu	2	jhu_run2_1-E1	E01JH0004	4	1	E1
jhu	2	jhu_run2_1-E10	E01JH0017	4	1	E10
jhu	2	jhu_run2_1-E11	E01JH0038	4	1	E11
jhu	2	jhu_run2_1-E12	E01JH0017	0	1	E12
jhu	2	jhu_run2_1-E2	E01JH0011	4	1	E2
jhu	2	jhu_run2_1-E3	E01JH0016	4	1	E3
jhu	2	jhu_run2_1-E4	E01JH0017	4	1	E4
jhu	2	jhu_run2_1-E5	E01JH0038	4	1	E5
jhu	2	jhu_run2_1-E6	E01JH0017	0	1	E6
jhu	2	jhu_run2_1-E7	E01JH0004	4	1	E7
jhu	2	jhu_run2_1-E8	E01JH0011	4	1	E8
jhu	2	jhu_run2_1-E9	E01JH0016	4	1	E9
jhu	2	jhu_run2_1-F1	E01JH0004	5	1	F1
jhu	2	jhu_run2_1-F10	E01JH0017	5	1	F10
jhu	2	jhu_run2_1-F11	E01JH0038	5	1	F11
jhu	2	jhu_run2_1-F12	E01JH0004	0	1	F12
jhu	2	jhu_run2_1-F2	E01JH0011	5	1	F2
jhu	2	jhu_run2_1-F3	E01JH0016	5	1	F3
jhu	2	jhu_run2_1-F4	E01JH0017	5	1	F4
jhu	2	jhu_run2_1-F5	E01JH0038	5	1	F5
jhu	2	jhu_run2_1-F6	E01JH0004	0	1	F6
jhu	2	jhu_run2_1-F7	E01JH0004	5	1	F7
jhu	2	jhu_run2_1-F8	E01JH0011	5	1	F8
jhu	2	jhu_run2_1-F9	E01JH0016	5	1	F9
jhu	2	jhu_run2_1-G1	E01JH0004	10	1	G1
jhu	2	jhu_run2_1-G10	E01JH0017	10	1	G10
jhu	2	jhu_run2_1-G11	E01JH0038	10	1	G11
jhu	2	jhu_run2_1-G12	E01JH0038	0	1	G12
jhu	2	jhu_run2_1-G2	E01JH0011	10	1	G2
jhu	2	jhu_run2_1-G3	E01JH0016	10	1	G3
jhu	2	jhu_run2_1-G4	E01JH0017	10	1	G4
jhu	2	jhu_run2_1-G5	E01JH0038	10	1	G5
jhu	2	jhu_run2_1-G6	E01JH0038	0	1	G6
jhu	2	jhu_run2_1-G7	E01JH0004	10	1	G7
jhu	2	jhu_run2_1-G8	E01JH0011	10	1	G8
jhu	2	jhu_run2_1-G9	E01JH0016	10	1	G9
jhu	2	jhu_run2_1-H1	E01JH0004	15	1	H1
jhu	2	jhu_run2_1-H10	E01JH0017	15	1	H10
jhu	2	jhu_run2_1-H11	E01JH0038	15	1	H11
jhu	2	jhu_run2_1-H12	NTC	NA	1	H12
jhu	2	jhu_run2_1-H2	E01JH0011	15	1	H2
jhu	2	jhu_run2_1-H3	E01JH0016	15	1	H3
jhu	2	jhu_run2_1-H4	E01JH0017	15	1	H4
jhu	2	jhu_run2_1-H5	E01JH0038	15	1	H5
jhu	2	jhu_run2_1-H6	NTC	NA	1	H6
jhu	2	jhu_run2_1-H7	E01JH0004	15	1	H7
jhu	2	jhu_run2_1-H8	E01JH0011	15	1	H8
jhu	2	jhu_run2_1-H9	E01JH0016	15	1	H9
jhu	2	jhu_run2_2-A1	E01JH0004	20	2	A1
jhu	2	jhu_run2_2-A10	E01JH0017	20	2	A10
jhu	2	jhu_run2_2-A11	E01JH0038	20	2	A11
jhu	2	jhu_run2_2-A12	NTC	NA	2	A12
jhu	2	jhu_run2_2-A2	E01JH0011	20	2	A2
jhu	2	jhu_run2_2-A3	E01JH0016	20	2	A3
jhu	2	jhu_run2_2-A4	E01JH0017	20	2	A4
jhu	2	jhu_run2_2-A5	E01JH0038	20	2	A5
jhu	2	jhu_run2_2-A6	NTC	NA	2	A6
jhu	2	jhu_run2_2-A7	E01JH0004	20	2	A7
jhu	2	jhu_run2_2-A8	E01JH0011	20	2	A8
jhu	2	jhu_run2_2-A9	E01JH0016	20	2	A9
jhu	2	jhu_run2_2-B1	E01JH0004	1	2	B1
jhu	2	jhu_run2_2-B10	E01JH0017	1	2	B10
jhu	2	jhu_run2_2-B11	E01JH0038	1	2	B11
jhu	2	jhu_run2_2-B12	E01JH0011	0	2	B12
jhu	2	jhu_run2_2-B2	E01JH0011	1	2	B2
jhu	2	jhu_run2_2-B3	E01JH0016	1	2	B3
jhu	2	jhu_run2_2-B4	E01JH0017	1	2	B4
jhu	2	jhu_run2_2-B5	E01JH0038	1	2	B5
jhu	2	jhu_run2_2-B6	E01JH0011	0	2	B6
jhu	2	jhu_run2_2-B7	E01JH0004	1	2	B7
jhu	2	jhu_run2_2-B8	E01JH0011	1	2	B8
jhu	2	jhu_run2_2-B9	E01JH0016	1	2	B9
jhu	2	jhu_run2_2-C1	E01JH0004	2	2	C1
jhu	2	jhu_run2_2-C10	E01JH0017	2	2	C10
jhu	2	jhu_run2_2-C11	E01JH0038	2	2	C11
jhu	2	jhu_run2_2-C12	E01JH0016	0	2	C12
jhu	2	jhu_run2_2-C2	E01JH0011	2	2	C2
jhu	2	jhu_run2_2-C3	E01JH0016	2	2	C3
jhu	2	jhu_run2_2-C4	E01JH0017	2	2	C4
jhu	2	jhu_run2_2-C5	E01JH0038	2	2	C5
jhu	2	jhu_run2_2-C6	E01JH0016	0	2	C6
jhu	2	jhu_run2_2-C7	E01JH0004	2	2	C7
jhu	2	jhu_run2_2-C8	E01JH0011	2	2	C8
jhu	2	jhu_run2_2-C9	E01JH0016	2	2	C9
jhu	2	jhu_run2_2-D1	E01JH0004	3	2	D1
jhu	2	jhu_run2_2-D10	E01JH0017	3	2	D10
jhu	2	jhu_run2_2-D11	E01JH0038	3	2	D11
jhu	2	jhu_run2_2-D12	NTC	NA	2	D12
jhu	2	jhu_run2_2-D2	E01JH0011	3	2	D2
jhu	2	jhu_run2_2-D3	E01JH0016	3	2	D3
jhu	2	jhu_run2_2-D4	E01JH0017	3	2	D4
jhu	2	jhu_run2_2-D5	E01JH0038	3	2	D5
jhu	2	jhu_run2_2-D6	NTC	NA	2	D6
jhu	2	jhu_run2_2-D7	E01JH0004	3	2	D7
jhu	2	jhu_run2_2-D8	E01JH0011	3	2	D8
jhu	2	jhu_run2_2-D9	E01JH0016	3	2	D9
jhu	2	jhu_run2_2-E1	E01JH0004	4	2	E1
jhu	2	jhu_run2_2-E10	E01JH0017	4	2	E10
jhu	2	jhu_run2_2-E11	E01JH0038	4	2	E11
jhu	2	jhu_run2_2-E12	E01JH0017	0	2	E12
jhu	2	jhu_run2_2-E2	E01JH0011	4	2	E2
jhu	2	jhu_run2_2-E3	E01JH0016	4	2	E3
jhu	2	jhu_run2_2-E4	E01JH0017	4	2	E4
jhu	2	jhu_run2_2-E5	E01JH0038	4	2	E5
jhu	2	jhu_run2_2-E6	E01JH0017	0	2	E6
jhu	2	jhu_run2_2-E7	E01JH0004	4	2	E7
jhu	2	jhu_run2_2-E8	E01JH0011	4	2	E8
jhu	2	jhu_run2_2-E9	E01JH0016	4	2	E9
jhu	2	jhu_run2_2-F1	E01JH0004	5	2	F1
jhu	2	jhu_run2_2-F10	E01JH0017	5	2	F10
jhu	2	jhu_run2_2-F11	E01JH0038	5	2	F11
jhu	2	jhu_run2_2-F12	E01JH0004	0	2	F12
jhu	2	jhu_run2_2-F2	E01JH0011	5	2	F2
jhu	2	jhu_run2_2-F3	E01JH0016	5	2	F3
jhu	2	jhu_run2_2-F4	E01JH0017	5	2	F4
jhu	2	jhu_run2_2-F5	E01JH0038	5	2	F5
jhu	2	jhu_run2_2-F6	E01JH0004	0	2	F6
jhu	2	jhu_run2_2-F7	E01JH0004	5	2	F7
jhu	2	jhu_run2_2-F8	E01JH0011	5	2	F8
jhu	2	jhu_run2_2-F9	E01JH0016	5	2	F9
jhu	2	jhu_run2_2-G1	E01JH0004	10	2	G1
jhu	2	jhu_run2_2-G10	E01JH0017	10	2	G10
jhu	2	jhu_run2_2-G11	E01JH0038	10	2	G11
jhu	2	jhu_run2_2-G12	E01JH0038	0	2	G12
jhu	2	jhu_run2_2-G2	E01JH0011	10	2	G2
jhu	2	jhu_run2_2-G3	E01JH0016	10	2	G3
jhu	2	jhu_run2_2-G4	E01JH0017	10	2	G4
jhu	2	jhu_run2_2-G5	E01JH0038	10	2	G5
jhu	2	jhu_run2_2-G6	E01JH0038	0	2	G6
jhu	2	jhu_run2_2-G7	E01JH0004	10	2	G7
jhu	2	jhu_run2_2-G8	E01JH0011	10	2	G8
jhu	2	jhu_run2_2-G9	E01JH0016	10	2	G9
jhu	2	jhu_run2_2-H1	E01JH0004	15	2	H1
jhu	2	jhu_run2_2-H10	E01JH0017	15	2	H10
jhu	2	jhu_run2_2-H11	E01JH0038	15	2	H11
jhu	2	jhu_run2_2-H12	NTC	NA	2	H12
jhu	2	jhu_run2_2-H2	E01JH0011	15	2	H2
jhu	2	jhu_run2_2-H3	E01JH0016	15	2	H3
jhu	2	jhu_run2_2-H4	E01JH0017	15	2	H4
jhu	2	jhu_run2_2-H5	E01JH0038	15	2	H5
jhu	2	jhu_run2_2-H6	NTC	NA	2	H6
jhu	2	jhu_run2_2-H7	E01JH0004	15	2	H7
jhu	2	jhu_run2_2-H8	E01JH0011	15	2	H8
jhu	2	jhu_run2_2-H9	E01JH0016	15	2	H9
nist	1	nist_run1_1-A1	E01JH0004	20	1	A1
nist	1	nist_run1_1-A10	E01JH0017	20	1	A10
nist	1	nist_run1_1-A11	E01JH0038	20	1	A11
nist	1	nist_run1_1-A12	NTC	NA	1	A12
nist	1	nist_run1_1-A2	E01JH0011	20	1	A2
nist	1	nist_run1_1-A3	E01JH0016	20	1	A3
nist	1	nist_run1_1-A4	E01JH0017	20	1	A4
nist	1	nist_run1_1-A5	E01JH0038	20	1	A5
